n,kernel,trial,seed,kernel_ms,device_path_ms,input_bytes,output_bytes,mismatches
128,int32,1,237,0.962000000,1.832270000,131072,65536,0
128,int32,2,237,0.963000000,1.451921000,131072,65536,0
128,int8,1,237,0.958000000,1.961274000,32768,65536,0
128,int8,2,237,0.959000000,2.089551000,32768,65536,0
128,int4,1,237,0.959000000,2.204078000,16384,65536,0
128,int4,2,237,0.959000000,1.898152000,16384,65536,0
